symbol,interval,limit
0GUSDT,1d,1000
1000CATUSDT,1d,1000
1000CHEEMSUSDT,1d,1000
1000SATSUSDT,1d,1000
1INCHBTC,1d,1000
1INCHUSDT,1d,1000
1MBABYDOGEUSDT,1d,1000
2ZUSDT,1d,1000
A2ZUSDT,1d,1000
AAVEBTC,1d,1000
AAVEUSDT,1d,1000
ABTC,1d,1000
ACAUSDT,1d,1000
ACEUSDT,1d,1000
ACHBTC,1d,1000
ACHUSDT,1d,1000
ACMUSDT,1d,1000
ACTUSDT,1d,1000
ACXUSDT,1d,1000
ADABTC,1d,1000
ADAUSDT,1d,1000
ADXBTC,1d,1000
ADXUSDT,1d,1000
AEURUSDT,1d,1000
AEVOBTC,1d,1000
AEVOUSDT,1d,1000
AGLDBTC,1d,1000
AGLDUSDT,1d,1000
AIBTC,1d,1000
AIUSDT,1d,1000
AIXBTUSDT,1d,1000
ALCXUSDT,1d,1000
ALGOBTC,1d,1000
ALGOUSDT,1d,1000
ALICEUSDT,1d,1000
ALLOUSDT,1d,1000
ALPINEUSDT,1d,1000
ALTBTC,1d,1000
ALTUSDT,1d,1000
AMPUSDT,1d,1000
ANIMEUSDT,1d,1000
ANKRUSDT,1d,1000
APEBTC,1d,1000
APEUSDT,1d,1000
API3BTC,1d,1000
API3USDT,1d,1000
APTBTC,1d,1000
APTUSDT,1d,1000
ARBBTC,1d,1000
ARBTC,1d,1000
ARBUSDT,1d,1000
ARDRBTC,1d,1000
ARDRUSDT,1d,1000
ARKMBTC,1d,1000
ARKMUSDT,1d,1000
ARKUSDT,1d,1000
ARPABTC,1d,1000
ARPAUSDT,1d,1000
ARUSDT,1d,1000
ASRUSDT,1d,1000
ASTERUSDT,1d,1000
ASTRBTC,1d,1000
ASTRUSDT,1d,1000
ATAUSDT,1d,1000
ATMUSDT,1d,1000
ATOMBTC,1d,1000
ATOMUSDT,1d,1000
AUCTIONBTC,1d,1000
AUCTIONUSDT,1d,1000
AUDIOBTC,1d,1000
AUDIOUSDT,1d,1000
AUSDT,1d,1000
AVABTC,1d,1000
AVAUSDT,1d,1000
AVAXBTC,1d,1000
AVAXUSDT,1d,1000
AVNTUSDT,1d,1000
AWEBTC,1d,1000
AWEUSDT,1d,1000
AXLBTC,1d,1000
AXLUSDT,1d,1000
AXSBTC,1d,1000
AXSUSDT,1d,1000
BABYUSDT,1d,1000
BANANABTC,1d,1000
BANANAS31USDT,1d,1000
BANANAUSDT,1d,1000
BANDBTC,1d,1000
BANDUSDT,1d,1000
BANKUSDT,1d,1000
BARDUSDT,1d,1000
BARUSDT,1d,1000
BATBTC,1d,1000
BATUSDT,1d,1000
BBBTC,1d,1000
BBUSDT,1d,1000
BCHBTC,1d,1000
BCHUSDT,1d,1000
BEAMXUSDT,1d,1000
BELBTC,1d,1000
BELUSDT,1d,1000
BERABTC,1d,1000
BERAUSDT,1d,1000
BFUSDUSDT,1d,1000
BICOBTC,1d,1000
BICOUSDT,1d,1000
BIFIUSDT,1d,1000
BIGTIMEUSDT,1d,1000
BIOUSDT,1d,1000
BLURUSDT,1d,1000
BMTUSDT,1d,1000
BNBBTC,1d,1000
BNBUSDT,1d,1000
BNSOLUSDT,1d,1000
BNTUSDT,1d,1000
BOMEUSDT,1d,1000
BONKUSDT,1d,1000
BROCCOLI714USDT,1d,1000
BTCUSDT,1d,1000
BTTCUSDT,1d,1000
C98USDT,1d,1000
CAKEBTC,1d,1000
CAKEUSDT,1d,1000
CATIUSDT,1d,1000
CELOBTC,1d,1000
CELOUSDT,1d,1000
CELRUSDT,1d,1000
CETUSUSDT,1d,1000
CFXBTC,1d,1000
CFXUSDT,1d,1000
CGPTUSDT,1d,1000
CHESSUSDT,1d,1000
CHRBTC,1d,1000
CHRUSDT,1d,1000
CHZBTC,1d,1000
CHZUSDT,1d,1000
CITYUSDT,1d,1000
CKBUSDT,1d,1000
COMPBTC,1d,1000
COMPUSDT,1d,1000
COOKIEUSDT,1d,1000
COSUSDT,1d,1000
COTIBTC,1d,1000
COTIUSDT,1d,1000
COWUSDT,1d,1000
CRVBTC,1d,1000
CRVUSDT,1d,1000
CTKBTC,1d,1000
CTKUSDT,1d,1000
CTSIBTC,1d,1000
CTSIUSDT,1d,1000
CUSDT,1d,1000
CVCUSDT,1d,1000
CVXUSDT,1d,1000
CYBERBTC,1d,1000
CYBERUSDT,1d,1000
DASHBTC,1d,1000
DASHUSDT,1d,1000
DATAUSDT,1d,1000
DCRUSDT,1d,1000
DEGOUSDT,1d,1000
DENTUSDT,1d,1000
DEXEUSDT,1d,1000
DFUSDT,1d,1000
DGBUSDT,1d,1000
DIABTC,1d,1000
DIAUSDT,1d,1000
DODOBTC,1d,1000
DODOUSDT,1d,1000
DOGEBTC,1d,1000
DOGEUSDT,1d,1000
DOGSUSDT,1d,1000
DOLOUSDT,1d,1000
DOTBTC,1d,1000
DOTUSDT,1d,1000
DUSDT,1d,1000
DUSKBTC,1d,1000
DUSKUSDT,1d,1000
DYDXBTC,1d,1000
DYDXUSDT,1d,1000
DYMUSDT,1d,1000
EDENUSDT,1d,1000
EDUUSDT,1d,1000
EGLDBTC,1d,1000
EGLDUSDT,1d,1000
EIGENBTC,1d,1000
EIGENUSDT,1d,1000
ENABTC,1d,1000
ENAUSDT,1d,1000
ENJBTC,1d,1000
ENJUSDT,1d,1000
ENSBTC,1d,1000
ENSOUSDT,1d,1000
ENSUSDT,1d,1000
EPICUSDT,1d,1000
ERAUSDT,1d,1000
ETCBTC,1d,1000
ETCUSDT,1d,1000
ETHBTC,1d,1000
ETHFIUSDT,1d,1000
ETHUSDT,1d,1000
EULUSDT,1d,1000
EURIUSDT,1d,1000
EURUSDT,1d,1000
FARMUSDT,1d,1000
FDUSDUSDT,1d,1000
FETBTC,1d,1000
FETUSDT,1d,1000
FFUSDT,1d,1000
FIDABTC,1d,1000
FIDAUSDT,1d,1000
FILBTC,1d,1000
FILUSDT,1d,1000
FIOUSDT,1d,1000
FISBTC,1d,1000
FISUSDT,1d,1000
FLOKIUSDT,1d,1000
FLOWBTC,1d,1000
