symbol,interval,limit
0GUSDT,1d,1500
1000000BOBUSDT,1d,1500
1000000MOGUSDT,1d,1500
1000BONKUSDT,1d,1500
1000CATUSDT,1d,1500
1000CHEEMSUSDT,1d,1500
1000FLOKIUSDT,1d,1500
1000LUNCUSDT,1d,1500
1000PEPEUSDT,1d,1500
1000RATSUSDT,1d,1500
1000SATSUSDT,1d,1500
1000SHIBUSDT,1d,1500
1000WHYUSDT,1d,1500
1000XECUSDT,1d,1500
1000XUSDT,1d,1500
1INCHUSDT,1d,1500
1MBABYDOGEUSDT,1d,1500
A2ZUSDT,1d,1500
AAVEUSDT,1d,1500
ACEUSDT,1d,1500
ACHUSDT,1d,1500
ACTUSDT,1d,1500
ACXUSDT,1d,1500
ADAUSDT,1d,1500
AERGOUSDT,1d,1500
AEROUSDT,1d,1500
AEVOUSDT,1d,1500
AGLDUSDT,1d,1500
AGTUSDT,1d,1500
AI16ZUSDT,1d,1500
AIAUSDT,1d,1500
AINUSDT,1d,1500
AIOTUSDT,1d,1500
AIOUSDT,1d,1500
AIUSDT,1d,1500
AIXBTUSDT,1d,1500
AKTUSDT,1d,1500
ALCHUSDT,1d,1500
ALGOUSDT,1d,1500
ALICEUSDT,1d,1500
ALLUSDT,1d,1500
ALPHAUSDT,1d,1500
ALPINEUSDT,1d,1500
ALTUSDT,1d,1500
ANIMEUSDT,1d,1500
ANKRUSDT,1d,1500
APEUSDT,1d,1500
API3USDT,1d,1500
APTUSDT,1d,1500
ARBUSDT,1d,1500
ARCUSDT,1d,1500
ARIAUSDT,1d,1500
ARKMUSDT,1d,1500
ARKUSDT,1d,1500
ARPAUSDT,1d,1500
ARUSDT,1d,1500
ASRUSDT,1d,1500
ASTERUSDT,1d,1500
ASTRUSDT,1d,1500
ATAUSDT,1d,1500
ATHUSDT,1d,1500
ATOMUSDT,1d,1500
AUCTIONUSDT,1d,1500
AUSDT,1d,1500
AVAAIUSDT,1d,1500
AVAUSDT,1d,1500
AVAXUSDT,1d,1500
AVNTUSDT,1d,1500
AWEUSDT,1d,1500
AXLUSDT,1d,1500
AXSUSDT,1d,1500
B2USDT,1d,1500
B3USDT,1d,1500
BABYUSDT,1d,1500
BAKEUSDT,1d,1500
BANANAS31USDT,1d,1500
BANANAUSDT,1d,1500
BANDUSDT,1d,1500
BANKUSDT,1d,1500
BANUSDT,1d,1500
BARDUSDT,1d,1500
BASUSDT,1d,1500
BATUSDT,1d,1500
BBUSDT,1d,1500
